Format: xRadius yRadius Family# Removed (-2 = userPolygon, -1 = userRectangle, 0 = userEllipse, > 0 is family in order of famProb)
5000 5000 -1
5000 5000 -1
112.06932 112.06932 1
212.44946 212.44946 1
320.21021 320.21021 1
109.7907 109.7907 1
147.59764 147.59764 1
126.42546 126.42546 1
114.71043 114.71043 1
104.65573 104.65573 1
191.02164 191.02164 1
165.81242 165.81242 1
255.31485 255.31485 1
112.73731 112.73731 1
715.64728 715.64728 1
127.29333 127.29333 1
108.00842 108.00842 1
132.80406 132.80406 1
170.37926 170.37926 1
327.39893 327.39893 1
222.35214 222.35214 1
240.15958 240.15958 1
131.21733 131.21733 1
593.30695 593.30695 1
127.78759 127.78759 1
119.91855 119.91855 1
120.40939 120.40939 1
276.30124 276.30124 1
448.8154 448.8154 1
173.10942 173.10942 1
163.80998 163.80998 1
653.39105 653.39105 1
889.20996 889.20996 1
321.74664 321.74664 1
137.70093 137.70093 1
222.35463 222.35463 1
149.37044 149.37044 1
157.99237 157.99237 1
337.33606 337.33606 1
244.0331 244.0331 1
302.5257 302.5257 1
254.79816 254.79816 1
373.27771 373.27771 1
205.72137 205.72137 1
454.23831 454.23831 1
149.31369 149.31369 1
104.47267 104.47267 1
251.72755 251.72755 1
801.0257 801.0257 1
168.42191 168.42191 1
101.16676 101.16676 1
916.46204 916.46204 1
